Repository,PR #,Title,State,Created At,Merged At,Closed At,Additions,Deletions,Net Lines,URL
dataverse-vintedgo-dbt,6916,feat: more rigorous testing on reporting carrier in unmatched invoice rows,MERGED,2026-01-14,2026-01-15,2026-01-15,48,17,31,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6916
dataverse-vintedgo-finance,197,chore: royal mail only download last n working days,MERGED,2026-01-14,2026-01-15,2026-01-15,699,16,683,https://github.com/vinted/dataverse-vintedgo-finance/pull/197
dataverse-vintedgo-finance,196,docs: readme for ups_ftp_dockerfile,MERGED,2026-01-14,2026-01-14,2026-01-14,103,4,99,https://github.com/vinted/dataverse-vintedgo-finance/pull/196
dataverse-vintedgo-finance,195,chore: define project names for shipment_joins_failure_alerts_dockerfile,MERGED,2026-01-14,2026-01-14,2026-01-14,171,31,140,https://github.com/vinted/dataverse-vintedgo-finance/pull/195
dataverse-vintedgo-finance,194,docs: update docs for royalmail_api_reconciliation_report_dockerfile,MERGED,2026-01-14,2026-01-14,2026-01-14,53,5,48,https://github.com/vinted/dataverse-vintedgo-finance/pull/194
dataverse-vintedgo-finance,193,refactor: add readme and entrypoint configurations for mondial relay downloader (in case projects change),MERGED,2026-01-14,2026-01-14,2026-01-14,166,7,159,https://github.com/vinted/dataverse-vintedgo-finance/pull/193
dataverse-vintedgo-finance,192,chore: change reference for bigquery queries to vi-dv-prod-data for invoice completeness alerts,MERGED,2026-01-14,2026-01-14,2026-01-14,290,43,247,https://github.com/vinted/dataverse-vintedgo-finance/pull/192
dataverse-vintedgo-dbt,6897,chore: M005 for mart_invoice_totals_verificiation,CLOSED,2026-01-12,,2026-01-12,21,3,18,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6897
dataverse-vintedgo-dbt,6896,chore: change project reference for dev_compile_prod target,MERGED,2026-01-12,2026-01-13,2026-01-13,4,4,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6896
dataverse-vintedgo-dbt,6893,fix: use any_value() to handle case where there are nulls,MERGED,2026-01-12,2026-01-12,2026-01-12,3,4,-1,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6893
dataverse-vintedgo-dbt,6892,feat: new test for identifying missing invoice patterns for mondial invoices,MERGED,2026-01-12,2026-01-12,2026-01-12,122,0,122,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6892
dataverse-vintedgo-dbt,6880,chore: change reference to marketplace intelligence,MERGED,2026-01-09,2026-01-14,2026-01-14,3,3,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6880
dataverse-vintedgo-dbt,6876,chore: include only credit note date 2025-11-01 for reporting,MERGED,2026-01-09,2026-01-12,2026-01-12,87,28,59,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6876
dataverse-vintedgo-dbt,6869,chore: remove routes from exclusions,MERGED,2026-01-08,2026-01-09,2026-01-09,1,29,-28,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6869
dataverse-vintedgo-dbt,6868,chore: unit test prep_expected_credit_note_rows_wide_categories and prep_expected_credit_notes_shipment_leg_granularity,MERGED,2026-01-08,2026-01-09,2026-01-09,160,7,153,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6868
dataverse-vintedgo-dbt,6867,feat: expose expected credit notes to mart_shipment_legs_invoice_cost_and_revenue,MERGED,2026-01-08,2026-01-09,2026-01-09,44,1,43,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6867
dataverse-vintedgo-dbt,6866,fix: test fails because there are null values in the carrier leg and description,MERGED,2026-01-08,2026-01-08,2026-01-08,3,0,3,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6866
dataverse-vintedgo-dbt,6865,feat: introduce change in determining when the risk was transferred,MERGED,2026-01-08,2026-01-16,2026-01-16,572,289,283,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6865
dataverse-vintedgo-dbt,6864,fix: source path missing `gs://`,MERGED,2026-01-08,2026-01-08,2026-01-08,1,1,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6864
dataverse-vintedgo-dbt,6860,feat: add columns for derivation of deemed delivery date for comparison,MERGED,2026-01-08,2026-01-08,2026-01-08,33,0,33,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6860
dataverse-vintedgo-dbt,6851,feat: create fact for expected credit notes,MERGED,2026-01-07,2026-01-08,2026-01-08,1070,0,1070,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6851
dataverse-vintedgo-looker,3559,chore: update limit to 5000 rows for dashboard,MERGED,2026-01-06,2026-01-06,2026-01-06,2,2,0,https://github.com/vinted/dataverse-vintedgo-looker/pull/3559
dataverse-vintedgo-dbt,6817,chore: fix unit test references (from carrier_invoices to raw_carrier_invoices),MERGED,2026-01-05,2026-01-05,2026-01-05,295,281,14,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6817
dataverse-vintedgo-dbt,6815,chore: add field to unique test,MERGED,2026-01-05,2026-01-05,2026-01-05,1,0,1,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6815
dataverse-vintedgo-dbt,6811,chore: update currency for gls-dk,MERGED,2026-01-05,2026-01-05,2026-01-05,22,11,11,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6811
