pr_number,title,repository,repository_full,state,author,created_at,updated_at,closed_at,comments_count,labels,label_count,days_open,url,body_length,year_month,year,month,quarter,is_merged,is_closed,is_open
2181,"Amendments to batch view HOAV - brand, local date",lookml,vinted/lookml,merged,jeremychia,2023-10-11 08:47:54+00:00,2023-10-11 09:29:14+00:00,2023-10-11 09:29:13+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2181,182,2023-10,2023,10,Q4 2023,True,False,False
11727,Batch view for Offline Verification Listings,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-11 12:59:16+00:00,2023-10-12 09:22:21+00:00,2023-10-12 09:22:20+00:00,6,,0,0,https://github.com/vinted/warehouse-jobs/pull/11727,311,2023-10,2023,10,Q4 2023,True,False,False
2182,Expose offline_verification_listing_daily_data,lookml,vinted/lookml,merged,jeremychia,2023-10-11 14:44:34+00:00,2023-10-12 14:41:21+00:00,2023-10-12 14:41:20+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2182,280,2023-10,2023,10,Q4 2023,True,False,False
11735,Add cucumber test to ItemSale HOAV Batch View,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-12 08:40:36+00:00,2023-10-12 09:22:22+00:00,2023-10-12 09:22:20+00:00,1,,0,0,https://github.com/vinted/warehouse-jobs/pull/11735,105,2023-10,2023,10,Q4 2023,True,False,False
11745,Cucumber test for offline verification eligibility status,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-12 14:28:51+00:00,2023-10-12 15:18:47+00:00,2023-10-12 15:18:46+00:00,1,,0,0,https://github.com/vinted/warehouse-jobs/pull/11745,957,2023-10,2023,10,Q4 2023,True,False,False
2188,Adds sale-buy country code,lookml,vinted/lookml,merged,jeremychia,2023-10-13 07:06:39+00:00,2023-10-13 10:49:47+00:00,2023-10-13 10:49:46+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2188,140,2023-10,2023,10,Q4 2023,True,False,False
11765,Replace is_banned filter with Suspicious user filters in HAOV Batch Views,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-13 13:29:53+00:00,2023-10-27 10:08:08+00:00,2023-10-27 10:08:07+00:00,10,,0,13,https://github.com/vinted/warehouse-jobs/pull/11765,460,2023-10,2023,10,Q4 2023,True,False,False
2212,Change name of table + update documentation,lookml,vinted/lookml,merged,jeremychia,2023-10-24 11:14:31+00:00,2023-10-30 11:19:56+00:00,2023-10-30 11:19:56+00:00,0,,0,6,https://github.com/vinted/lookml/pull/2212,234,2023-10,2023,10,Q4 2023,True,False,False
11903,Adding price groups based on EUR spot rates in ItemDimension,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-24 13:10:08+00:00,2023-10-26 08:22:12+00:00,2023-10-26 08:22:11+00:00,13,,0,1,https://github.com/vinted/warehouse-jobs/pull/11903,850,2023-10,2023,10,Q4 2023,True,False,False
11939,Introduce HVF Items Dimension,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-25 14:46:56+00:00,2023-11-03 13:35:54+00:00,2023-11-03 13:35:53+00:00,9,,0,8,https://github.com/vinted/warehouse-jobs/pull/11939,582,2023-10,2023,10,Q4 2023,True,False,False
11949,Adds currency translations in ItemImportedDimension + cucumberTest,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-26 10:22:30+00:00,2023-10-30 12:17:24+00:00,2023-10-30 12:17:23+00:00,13,,0,4,https://github.com/vinted/warehouse-jobs/pull/11949,1229,2023-10,2023,10,Q4 2023,True,False,False
